Wavelenth,blue1.ABS8,brown1.ABS8,green1.ABS8,orange1.ABS8,purple1.ABS8,red1.ABS8,yellow1.ABS8
410.106,0.200534368101942,0.475828998902055,0.192762378842646,0.180466703406796,0.272677922479658,0.212843424954936,-0.050485258762292
410.690,0.213392669162016,0.475337700990631,0.235020378895183,0.206949012662739,0.31249917461294,0.246077001027113,-0.0400909396808972
411.275,0.233754896712738,0.461314870302427,0.255091795771742,0.194760245858973,0.316070550066544,0.232350046952966,-0.0314389982293025
411.859,0.237405880732191,0.482468284166414,0.252222190199366,0.213821665451714,0.312445216038699,0.234599582706576,-0.0235819131602254
412.443,0.232559568984436,0.501587045383303,0.255322082588695,0.212954856808158,0.326219050665273,0.243846106018301,-0.0249821978968994
413.027,0.2437285511424,0.527010718082875,0.294691436767651,0.233882306213969,0.322663066743167,0.265112232986024,-0.0165627373353358
413.611,0.247301494543086,0.545123838679068,0.325738045462828,0.252072323208827,0.343026944298635,0.273222923400923,-0.0149372816508827
414.195,0.250765654497239,0.534720743462729,0.339378396681084,0.252011580824956,0.346297875419833,0.27580878986397,-0.0199593146214002
414.779,0.251624748466287,0.563133962018634,0.385640461800497,0.279596651098163,0.348907086873417,0.267587147886316,-0.0125312769251502
415.363,0.247521567518603,0.603537120594968,0.433455009438641,0.294283832552749,0.343430898509021,0.272390206397996,-0.0078780075046815
415.947,0.245734269267748,0.632041690595639,0.454664743125452,0.310795780989251,0.351418733207121,0.279430187243816,-0.0019269978050056
416.531,0.243230461265484,0.650981735714592,0.485956757170342,0.323060552516496,0.357283454562882,0.279195449787356,0.00755811581181559
417.115,0.237401321714184,0.693818146538574,0.480484648425774,0.322216610757885,0.357648067262567,0.276354651231609,0.010088907677145
417.699,0.235615747580381,0.709643554668003,0.487162348426528,0.332362488993069,0.367431022598176,0.270034249314062,0.0133587212412277
418.283,0.228176763578583,0.739114672034858,0.484266140875197,0.341246029310608,0.357376114602824,0.259971368561956,0.00701228087505092
418.867,0.220097558589014,0.791576573924106,0.496304064042216,0.353228510036291,0.363963705017304,0.260434321850547,0.00448327132529157
419.450,0.215038378189393,0.784617936324047,0.508704181399394,0.355216998257642,0.362550528827636,0.260025453035181,0.00533845281439017
420.034,0.213204003411639,0.792057366764869,0.519140747707637,0.361304855512458,0.350998215747523,0.264112688367092,0.00495993087411753
420.618,0.207174342597969,0.799082824179515,0.52641217203815,0.358470992915288,0.348647033988179,0.253448885877911,0.00171663436849702
421.201,0.199145396723378,0.829549722963871,0.540055381991251,0.362699517649779,0.33802889113779,0.255050658719717,7.0264116977299E-05
421.785,0.19390665848801,0.868575439010207,0.572022370759531,0.375210162871645,0.33676786549193,0.259862316035766,0.00337322161540024
422.368,0.185852294960247,0.905870226468972,0.590800626625328,0.378494772513831,0.338951618504398,0.265672681741031,0.00258876227008222
422.952,0.178648823460939,0.912935502677065,0.607146455047747,0.387794177857676,0.339276612582318,0.263609809168645,0.000108339764001762
423.535,0.174561082489505,0.910995901131781,0.609028141658956,0.389678839975989,0.333620257725003,0.263948218786682,-0.00436601747234846
424.119,0.169290672333929,0.940060233965685,0.611318625515332,0.393794236766977,0.326208428189257,0.262913835012986,-0.00662165192298724
424.702,0.168793895083438,0.957879610806253,0.628881376826632,0.397812129273266,0.323109097994346,0.267454759071698,-0.00355624877265332
425.286,0.160579492116354,0.959705973421435,0.626614292357528,0.399883927780189,0.318924703741871,0.268419476169048,-0.00379954976988535
425.869,0.158717970402767,0.978128584038506,0.637854617326586,0.402204215362305,0.321735197039122,0.269922709891969,-0.00120556580592027
426.452,0.151786751166126,0.974003934908124,0.652268760209245,0.406445692890001,0.318044046142531,0.274352750194773,0.000341899997120583
427.036,0.149908855446117,0.984858721397065,0.659457489323434,0.410229847119893,0.316756542961113,0.275186516767972,0.00152197175380776
427.619,0.146756751096598,0.990052125376181,0.663382052021689,0.412417607144036,0.317394926022239,0.275216131782406,0.0011874868795777
428.202,0.143190629178548,0.998030986799462,0.667428741192322,0.418750821644717,0.318158381064369,0.277539963542388,0.00120048864706836
428.785,0.13890825918435,0.993766462440538,0.665900884554512,0.420180303826808,0.317927263591593,0.276228374766764,-0.000128413498762028
429.368,0.13726626446638,1.00060560287888,0.660895485800625,0.4188470038988,0.319609190171986,0.27710200735165,-0.000992118924667562
429.951,0.136489013021465,0.999260138689384,0.661029492329152,0.424261470869277,0.317522490672046,0.277297760580628,0.000274003796433727
430.534,0.134463813281295,0.995967227613023,0.659859412184637,0.426555152679986,0.31668193984523,0.275047426175465,-0.00120534824034954
431.117,0.131921100385681,0.996042324831811,0.666017433481956,0.431341625162108,0.317172994992235,0.277739980214604,0.000695076082036193
431.700,0.128702507617635,0.994276162530997,0.669821626741316,0.436749897002921,0.319202259720274,0.278667278919228,-0.000115806992453719
432.283,0.126293927607892,0.99064531867887,0.670869997343858,0.440476378242812,0.322657658389602,0.277485814901845,0.000289347424251956
432.866,0.127311318743521,0.99809352031531,0.679649702709493,0.443216072929625,0.325799486950356,0.280340438379997,0.00151953387007798
433.449,0.126089977735975,0.990760201079918,0.680841457493535,0.446570626873359,0.324743002993135,0.28096810094812,-0.000489558105427427
434.032,0.126826568445673,0.998613157892994,0.677644694310183,0.4514824807977,0.326098138818323,0.281400526652252,-6.25262144165475E-05
434.615,0.12524915555758,1.00491809916422,0.680893194245331,0.456224760001573,0.327497455084994,0.283447873784497,0.000449009776878974
435.197,0.123878127675476,1.00408272950943,0.682966063199817,0.461659220342468,0.327635180858708,0.283649913594437,0.00180280106418154
